country_code,year,inflation
AFE,2024,4.48978854243448
AFE,2023,7.39918558080627
AFE,2022,10.8834775726018
AFE,2021,6.82472709282067
AFE,2020,5.19162942092851
AFE,2019,4.10285075461156
AFE,2018,4.6898064677633
AFE,2017,6.22137528933118
AFE,2016,6.44687722255584
AFE,2015,5.09856164363687
AFW,2024,3.60804426950566
AFW,2023,5.22116801324002
AFW,2022,7.94925143524016
AFW,2021,3.74556782333009
AFW,2020,2.49037783931949
AFW,2019,1.98309228487232
AFW,2018,1.78404994832044
AFW,2017,1.72548602374731
AFW,2016,1.48741550755546
AFW,2015,2.13081738058791
ARB,2024,2.10135577419612
ARB,2023,4.00025877060147
ARB,2022,5.17980847967061
ARB,2021,2.86833027751019
ARB,2020,1.44703656998741
ARB,2019,1.33601568147656
ARB,2018,2.30874696703938
ARB,2017,2.06932928164424
ARB,2016,2.36503123461077
ARB,2015,1.83135233156369
CSS,2024,2.56921890367726
CSS,2023,4.47720868651285
CSS,2022,5.82838638517959
CSS,2021,2.22891330700344
CSS,2020,0.121434644614894
CSS,2019,1.00054293027237
CSS,2018,1.20715793367008
CSS,2017,1.6992957045984
CSS,2016,0.402621696824957
CSS,2015,-0.852705497033039
CEB,2024,2.75760909424272
CEB,2023,9.44284140088564
CEB,2022,14.6081439492433
CEB,2021,3.83984491500146
CEB,2020,1.67244096855756
CEB,2019,2.66456133425431
CEB,2018,2.53445424186598
CEB,2017,2.0759355367385
CEB,2016,-0.054999541670474
CEB,2015,-0.464499004644911
EAR,2024,3.29589662451998
EAR,2023,5.88585897042164
EAR,2022,7.19861615609867
EAR,2021,4.12676744440695
EAR,2020,2.96354992076065
EAR,2019,2.76252019386111
EAR,2018,3.97561015740694
EAR,2017,3.32817337461298
EAR,2016,3.52317317628473
EAR,2015,3.12900274473925
EAS,2024,2.3556272611928
EAS,2023,5.21536927681554
EAS,2022,5.34595440908904
EAS,2021,2.47710241465447
EAS,2020,0.846905537459305
EAS,2019,1.70397863236257
EAS,2018,2.368549058067
EAS,2017,1.80034222468621
EAS,2016,1.27699094497324
EAS,2015,0.795279630579839
EAP,2024,2.31848172887108
EAP,2023,5.97802515541409
EAP,2022,5.37734908193985
EAP,2021,2.69891859529198
EAP,2020,2.40629214387011
EAP,2019,1.94257500833107
EAP,2018,3.19834755924996
EAP,2017,2.91263557371478
EAP,2016,1.91731090233378
EAP,2015,1.22393195511119
TEA,2024,2.23172772921704
TEA,2023,6.16457747898299
TEA,2022,5.40874375479067
TEA,2021,2.6124818577648
TEA,2020,2.3931623931624
TEA,2019,1.93321335810515
TEA,2018,2.91740978470444
TEA,2017,2.88291164981213
TEA,2016,1.75711158908291
TEA,2015,1.08648629940414
EMU,2024,2.18497406958038
EMU,2023,5.78431554960862
EMU,2022,8.47117645590892
EMU,2021,2.4865043812082
EMU,2020,0.186938139702131
EMU,2019,1.44123966942341
EMU,2018,1.6892396580413
EMU,2017,1.37503641525339
EMU,2016,0.166009884375616
EMU,2015,-0.0852072296963751
ECS,2024,2.75760909424272
ECS,2023,7.120422120899
ECS,2022,11.1136121878761
ECS,2021,3.19017771027094
ECS,2020,1.19998396936028
ECS,2019,1.76373586528842
ECS,2018,2.01321972250337
ECS,2017,1.91558846458259
ECS,2016,0.388838296895799
ECS,2015,0.36804684232536
ECA,2024,3.48974086026947
ECA,2023,9.07365149809048
ECA,2022,13.8875841659221
ECA,2021,6.91756771076075
ECA,2020,2.74615078213777
ECA,2019,2.64328192719554
ECA,2018,2.56572880132719
ECA,2017,4.60357355778862
ECA,2016,2.13492713939121
ECA,2015,4.02768573742726
TEC,2024,3.63700046769908
TEC,2023,9.36187249769016
TEC,2022,13.8522590144267
TEC,2021,5.10641129002841
TEC,2020,2.73249209419427
TEC,2019,2.67599202639893
TEC,2018,2.611223782638
TEC,2017,3.13106248590115
TEC,2016,1.19887282892596
TEC,2015,3.86763469978395
EUU,2024,2.43531202435314
EUU,2023,6.29942487419125
EUU,2022,8.83369886749452
EUU,2021,2.55450699642041
EUU,2020,0.476498852725066
EUU,2019,1.63052260754344
EUU,2018,1.7386086198818
EUU,2017,1.42910743319306
EUU,2016,0.18333486112386
EUU,2015,-0.0616446800641672
FCS,2024,4.4275764904982
FCS,2023,7.11459205344455
FCS,2022,9.39075933985203
FCS,2021,4.25936417542868
FCS,2020,2.8981937602627
FCS,2019,2.45280214062732
FCS,2018,2.96760366004456
FCS,2017,4.18072331871267
FCS,2016,3.19056179723773
FCS,2015,2.676235314199
HPC,2024,4.56976223919357
HPC,2023,7.12697482131851
HPC,2022,9.65914753785069
HPC,2021,4.37012190478157
HPC,2020,3.47617372722194
HPC,2019,2.83514555687506
HPC,2018,3.01748181031406
HPC,2017,4.5783374121255
HPC,2016,4.38389195513915
HPC,2015,3.55075967356746
IBD,2024,3.48974086026947
IBD,2023,6.02663450060535
IBD,2022,9.10437983075437
IBD,2021,4.27166381536798
IBD,2020,2.41513094083414
IBD,2019,2.58405829251271
IBD,2018,3.22703471046143
IBD,2017,3.32389447576097
IBD,2016,2.12081713361588
IBD,2015,3.09551722027242
IBT,2024,3.62109273885843
IBT,2023,6.20657592272126
IBT,2022,8.81109209279587
IBT,2021,4.25936417542868
IBT,2020,2.8981937602627
IBT,2019,2.70590196327809
IBT,2018,3.13285375991676
IBT,2017,3.33787586109568
IBT,2016,2.81495791361944
IBT,2015,3.12900274473925
IDB,2024,3.45053028131019
IDB,2023,4.56457719814894
IDB,2022,6.32752007290448
IDB,2021,3.46677876951929
IDB,2020,2.1039488213608
IDB,2019,1.98958744120896
IDB,2018,2.48030843191907
IDB,2017,1.14765339305816
IDB,2016,1.65038994431573
IDB,2015,1.37488542621446
IDX,2024,4.19081721344523
IDX,2023,7.12142371831339
IDX,2022,9.57337118555953
IDX,2021,4.37012190478157
IDX,2020,3.94180326908065
IDX,2019,3.09342088075364
IDX,2018,3.01748181031406
IDX,2017,4.31421134623784
IDX,2016,3.74103082110771
IDX,2015,3.40274327737188
IDA,2024,3.92206330291068
IDA,2023,7.10220928557059
IDA,2022,8.21619710967436
IDA,2021,4.17270582217659
IDA,2020,3.47617372722194
IDA,2019,2.74447528387472
IDA,2018,2.84578376094084
IDA,2017,3.85067166284727
IDA,2016,3.21988689395718
IDA,2015,3.15783117980923
LTE,2024,2.90125149455067
LTE,2023,6.09114152504141
LTE,2022,8.64091108973855
LTE,2021,3.49505757399448
LTE,2020,1.93694126694223
LTE,2019,2.16176258133054
LTE,2018,2.47446347118434
LTE,2017,2.17727572689262
LTE,2016,1.10920805807027
LTE,2015,1.5579071134626
LCN,2024,3.46497037946077
LCN,2023,4.78561281021135
LCN,2022,7.71367726901419
LCN,2021,3.87805442411131
LCN,2020,1.49389017299587
LCN,2019,2.37167859363036
LCN,2018,2.37951733360489
LCN,2017,2.19201010962985
LCN,2016,1.65038994431573
LCN,2015,1.86148302863371
LAC,2024,3.83540271728533
LAC,2023,5.08677483158112
LAC,2022,8.33370630096231
LAC,2021,4.27166381536798
LAC,2020,2.52663500084706
LAC,2019,2.50460959460401
LAC,2018,3.40250179472038
LAC,2017,3.36296514855608
LAC,2016,2.77316004021475
LAC,2015,3.14341696227424
TLA,2024,3.62770736940927
TLA,2023,4.92637573192674
TLA,2022,7.8962761916855
TLA,2021,4.26105127422813
TLA,2020,1.76751592356698
TLA,2019,2.09604635327807
TLA,2018,2.32414485367921
TLA,2017,2.8227580554717
TLA,2016,2.53781710390567
TLA,2015,2.92482169718974
LDC,2024,4.50346801326901
LDC,2023,7.12697482131851
LDC,2022,9.45801281304023
LDC,2021,4.15649125482107
LDC,2020,4.33296874711709
LDC,2019,3.32255881256925
LDC,2018,3.46147484973729
LDC,2017,4.5725365531752
LDC,2016,5.34414600997244
LDC,2015,3.40274327737188
LMY,2024,3.6966328135552
LMY,2023,6.20657592272126
